,buy_mean,buy_std,buy_pc01,buy_pc02,buy_pc03,buy_pc04,buy_pc05,buy_pc06,buy_pc07,buy_pc08,buy_pc09,buy_pc10,buy_pc11,buy_pc12,buy_pc13,buy_pc14,buy_pc15,buy_pc16,buy_pc17,buy_pc18,buy_pc19,buy_pc20,sell_mean,sell_std,sell_pc01,sell_pc02,sell_pc03,sell_pc04,sell_pc05,sell_pc06,sell_pc07,sell_pc08,sell_pc09,sell_pc10,sell_pc11,sell_pc12,sell_pc13,sell_pc14,sell_pc15,sell_pc16,sell_pc17,sell_pc18,sell_pc19,sell_pc20
wkSMA[0][0],-0.0012980501309558076,0.0011478928162453003,-0.0940203839860118,-0.007554722143605891,-0.13682416565336541,0.12743298101549838,-0.09230654880523056,0.11934750096144899,-0.022085158009996397,-0.2433236065301704,0.0191920835636107,0.05650700340863496,0.10240767005973493,0.057802336927151386,0.08596541681011334,0.18237063199814782,-0.19325840277045972,-0.19573403083586188,0.10703416450532216,0.018917503981677082,0.0012554714508685423,0.19320672113869952,-0.0014183569988279034,0.0011869521382679563,-0.09555654921254783,-0.023079274651879502,-0.1128470239996747,-0.12767808093179445,-0.04245153996407852,0.114737835633765,-0.14968778447656841,0.11393588542432054,0.19013921668353856,-0.105705570302645,-0.20629507635900537,0.019205429475905113,0.14527977360026223,-0.014921386996100967,-0.1661890935896513,0.08857171330273782,0.2092687091897679,-0.1665077396929127,-0.13797129459914836,-0.11559640925501403
wkRSI[0][0],76.13801657943644,6.42665104919825,0.03164475390534592,-0.017195734770324652,0.1500095136808518,-0.13265298196581252,-0.13132916020962873,-0.11797270845671558,0.24646272092613009,0.07223174445407113,0.27685605714953426,-0.010680040681325265,0.13106363296159276,-0.00868496003433388,-0.27257213775425576,0.03717586059724792,-0.07857031100002881,-0.18653353338126624,-0.04632962278790653,0.2907731279091427,-0.11952785023706597,-0.1844586249019447,22.741266220971916,6.366389381277805,-0.02071145517812869,0.024165361181578332,-0.1692901065911929,-0.07611806847877083,0.1829516529575046,-0.040526518571062244,-0.26565127804289757,0.229308871035457,-0.015553218648281153,0.17923446446197638,-0.09904017113808088,0.062166154083881445,0.0924888096090267,0.25816922179123714,0.19841426554876238,-0.01746976157464827,0.1634881068707541,0.20735000284039382,0.15087438899950226,-0.038979063193544834
wkBB[0][0],0.0005820876125504463,0.0004938028487193694,0.10497857440086193,0.011446022977152696,0.12989992734494496,-0.1289726161381736,0.1186993556660033,-0.11100396881312813,0.0018677551435658556,0.21953042333330924,-0.016855531265032624,-0.049163427976504366,-0.08149130437846681,-0.04844823038520623,-0.051515758105424206,-0.11462104839186674,0.08239413837365822,0.09302192549585699,0.007486151228816309,0.007057412838684858,0.015867306849327058,-0.057280316727652734,0.0006796317287234751,0.0005140385499906064,0.10467292796915126,0.023692267914477275,0.11043129194075622,0.1357370414721717,0.04798491413572567,-0.11384100981164731,0.13569137673259005,-0.07704114494259673,-0.17573902967744778,0.08681036806029784,0.1565923772890971,-0.008701878727461955,-0.11175488422007009,0.03561418642005061,0.11436648641274995,-0.06611286175712848,-0.06615746978173985,0.08013155900431246,0.0656122355262055,0.05523549501963435
wkATR[0][0],0.0524274486803518,0.03217972290461873,0.1170177692496307,0.021213126043875603,0.052388635902881044,-0.08017077581099351,0.1744331813885285,-0.0935476614225529,-0.09947546493181815,0.0968270253686891,-0.08939726823473824,-0.12296761223087727,0.029505393668022645,0.039710204771075286,0.09572631658634886,-0.1327777634301545,0.03649984072431788,-0.02011606440138285,0.3014164582241209,0.006167477204107485,-0.09795384314691581,-0.007549008981509789,0.05990849858356928,0.03666973706149721,0.1146271233669284,0.04841112317105972,0.05648661297251252,0.11188832258834229,0.08900927283119014,-0.15833362636256632,1.849965978794078e-05,0.04980070244023969,-0.14866814208473103,0.040413707135809836,-0.04240313512252182,0.014508386169758553,-0.11143701041864607,0.18874733439455676,0.042483818447080525,-0.11682048875611849,0.1931402853383731,-0.028298664551382764,-0.05297032233112417,0.11281474557196491
wkSMA[0][1],-0.0017240953091188305,0.0013370979551288597,-0.11546588148078425,-0.00659421143287316,-0.1432386689438283,0.1286830964284947,-0.08974409193329347,0.09528015312280645,-0.03371918419820091,-0.16696043686169085,-0.003064294423303066,0.01663689110547294,0.04844918628663481,0.04011022111395854,0.053650463102945564,0.05661812291559232,-0.01896261469413498,-0.030968625467039466,0.048300206043719304,0.030010602016811563,-0.05182909995126542,-0.053223200155728956,-0.001909182011334225,0.0013770382973498916,-0.11285914247320773,-0.02217450609422351,-0.13767892060191925,-0.13745188055883367,-0.02258445388736224,0.10159504981993063,-0.12846622293203241,0.048068260038206044,0.10528497516342722,-0.0663435760730794,-0.09628976546257277,0.01624733210205127,0.020321394549570437,0.0019126583909858472,-0.050924596504399754,-0.037189273293295175,0.01998175713772993,-0.029816300471480147,-0.05021752327614578,0.06921609460915232
wkRSI[0][1],73.1762348597732,6.016258847081443,0.04170238834897067,-0.04484847904303238,0.18800156611480695,-0.107699163714202,-0.1988148946010826,-0.0450962819082342,0.15061704918265983,-0.16309602161265266,0.13068202835596904,-0.0258182692284159,0.13454774036201853,0.04507292204855606,0.0667370185590388,0.0676109860160984,-0.035269746650522245,-0.03752944189661691,0.13135234093376003,-0.08305396229616285,-0.040722700995358206,0.07179809537919431,25.578962240735706,5.990828300654776,-0.029920634557108153,0.04507823318465733,-0.21374798470095294,-0.05360035820432574,0.23187046545502893,-0.09143945373207713,-0.05926008430890149,0.0231727305520986,-0.13582436126049946,0.14388493813101516,0.14091041165891335,-0.024463376398884618,-0.03022596216207791,-0.023984327362054744,0.02618290168320951,0.05484176172601473,-0.1839960348707914,-0.02472567923440204,0.06647007503211314,-0.18027392351635996
wkBB[0][1],0.000790326551033682,0.0006038732867891565,0.1241506399970387,0.009885068333925195,0.12257913663190863,-0.10055779225890553,0.10636254822959787,-0.04733447518299277,0.0034687755018774783,0.07865003350647186,-0.017120119379105625,0.03009598619222675,-0.009004456679997904,-0.019918780202100615,-0.0013596035388005563,0.06360821921318016,-0.14484756391019557,-0.10691760259750549,0.020362815825679573,-0.019190349900703917,0.08011486715361935,0.26687228583037254,0.0009119219182275077,0.0006285985954682066,0.11722317991267063,0.0234010254647008,0.12588748233788838,0.12545616127797232,0.040962139573094074,-0.09770208302718313,0.07820507902304237,0.037493701802756595,-0.031403787290500564,0.04980299946281354,-0.007566315890489226,0.0034634964826910646,0.10956678469876391,0.008319613526227084,-0.039022803533609964,0.13672994776389102,0.1462012196434403,-0.09210433617916407,-0.05268012712250905,-0.20992476942694616
wkATR[0][1],0.08104369501466269,0.045326225890783035,0.1306850140236603,0.02829252583978236,0.019048201141761315,-0.044530837454016224,0.19172582101054744,-0.024425893718075662,-0.11062468717595378,0.02391183922328003,-0.0911921642352127,-0.0863878647683491,0.07045879463496632,0.058170754667599946,0.09500680473035973,0.007728254288042251,-0.022011829759344907,-0.11203220339457266,0.20073597631029919,0.05298414494407209,-0.07878419270672214,-0.010076585041356362,0.0906634560906512,0.05034904002740768,0.12476327106336495,0.05874496543937104,0.032255907316915654,0.0878505993874184,0.13090271890499208,-0.1395023228487618,-0.05428828027143418,0.08658359719903787,-0.07048539680189193,0.028592303970250026,-0.09417255944235257,0.0274816704133006,-0.048797698110114356,0.10272151960069889,-0.037481508904169514,-0.02538454296190225,0.0995045715889306,-0.1272438644668769,-0.05835090803453746,0.09643744595068775
wkSMA[0][2],-0.002294443300706467,0.00167896506172624,-0.133966704353841,0.001567556224842772,-0.1263639935599513,0.06631846669638278,-0.03441352484404745,-0.034039967293980136,0.015276173331417852,0.06997503184112827,0.028550521599034543,-0.08381732177812172,0.02916181275901403,0.012986557869072848,-0.019502439622383193,-0.05296289103977903,-0.05612261240455065,-0.1070060788586587,0.1361917742088241,0.07509668344146304,-0.0516433996764655,0.04284631356090665,-0.002526968876773736,0.0016147790425368215,-0.1296887638620427,-0.011344180728074305,-0.13029838241184893,-0.06663788524260167,-0.022317188749102587,-0.007826031026748347,0.04889163597248721,-0.05689623772606444,-0.08112260409381719,-0.01725646725560932,0.005767944640176198,-0.00726429561486156,-0.06657797334377963,0.035345327891257314,-0.04347423370113714,0.01335886049126332,0.10161264883143012,-0.13669689382589478,-0.08356532299225265,-0.0017591803769850592
wkRSI[0][2],67.34398899021326,5.123271987290972,0.04620575058700537,-0.10972086237503419,0.14730372761696736,0.09722207552751252,-0.20082509017803374,0.044563907688349017,-0.08723229435346058,-0.07952756853149712,-0.135331149105677,-0.16658475140393061,0.007250084362981514,0.03280739055335995,0.17918587992014792,-0.11544210879950123,0.11058061293555582,0.01789890071290295,0.0644549581578294,-0.042223054377601835,0.006368500184803429,-0.05913110452085173,31.313980934419014,5.13458840718834,-0.04982357055912993,0.10678880412266396,-0.15762775685700137,0.13330006990400872,0.10532570261773969,-0.11023337513503802,0.17925420595892075,-0.06873025760458627,0.06812969986456381,-0.05110016931418444,0.10942740319287571,-0.013703203190507445,0.1526752583829847,-0.19827535875869237,-0.10348373423964297,0.07237840148368131,-0.011380230786908111,-0.05422178144777552,0.02775909645009506,-0.026129257801553358
