,buy_mean,buy_std,buy_pc01,buy_pc02,buy_pc03,buy_pc04,buy_pc05,buy_pc06,buy_pc07,buy_pc08,buy_pc09,buy_pc10,buy_pc11,buy_pc12,buy_pc13,buy_pc14,buy_pc15,buy_pc16,buy_pc17,buy_pc18,buy_pc19,buy_pc20,sell_mean,sell_std,sell_pc01,sell_pc02,sell_pc03,sell_pc04,sell_pc05,sell_pc06,sell_pc07,sell_pc08,sell_pc09,sell_pc10,sell_pc11,sell_pc12,sell_pc13,sell_pc14,sell_pc15,sell_pc16,sell_pc17,sell_pc18,sell_pc19,sell_pc20
wkSMA[0][0],-0.0012980501309558076,0.0011478928162453003,-0.09402038398601176,-0.007554722144452168,-0.13682416555887253,0.12743298050471066,-0.09230654956033847,0.11934748046715292,-0.02208512647276773,-0.24332400697462667,0.01919125501922568,0.056504504435462545,0.10240757714884843,0.05780342181421206,0.08598196694415777,0.18235564261108309,-0.19336475339334194,-0.19572841279291628,0.10711179002901505,0.01885309506795471,0.0011196240762652893,0.1932419488661676,-0.0014183569988279034,0.0011869521382679563,-0.09555654921257202,-0.023079274643292375,-0.11284702403659697,-0.12767808085588456,-0.0424515327422579,0.11473787407422714,-0.14968783532110402,0.11393633834576293,0.19013984736150222,-0.1057040342874698,-0.20629703305705036,0.019208594131387074,0.1452822985739945,-0.014923146579809136,-0.16615141890873117,0.08856143445610468,0.20936530069854967,-0.16667245288997767,-0.13795921848679873,-0.11561589506879014
wkRSI[0][0],76.13801657943644,6.42665104919825,0.03164475390539012,-0.017195734769456846,0.15000951368458823,-0.1326529841643302,-0.13132916540796633,-0.11797269368742956,0.24646273260581522,0.07223184984267471,0.2768545970665608,-0.01067740894959766,0.13106183108266814,-0.008682322060412282,-0.27256335610149507,0.03716544009084076,-0.07868841048069174,-0.1865021248223334,-0.0462679831777977,0.29072636276142216,-0.11871107581099707,-0.1856083310277824,22.741266220971916,6.366389381277805,-0.02071145517807864,0.024165361167871328,-0.16929010658229762,-0.07611806908122318,0.18295165100015906,-0.040526575534868055,-0.26565115662465644,0.22930824751189183,-0.015553880824689007,0.17923293757564268,-0.09903862670063429,0.06216330642250727,0.0924932809405526,0.2581718469484595,0.19840463269608266,-0.01761690743497194,0.16342497842116518,0.20761963368672787,0.15106111828569393,-0.03993046040607364
wkBB[0][0],0.0005820876125504463,0.0004938028487193694,0.10497857440102143,0.011446022972024157,0.12989992735628703,-0.12897261781913769,0.11869936860237681,-0.11100395252293371,0.0018677162213727777,0.21953064078776693,-0.01685713675362338,-0.0491667730611833,-0.08149089689335061,-0.048460417822669834,-0.05150122911152475,-0.11462603441287834,0.08233791846494358,0.09321250314231437,0.007556888576257712,0.00706308210284715,0.015115476939981122,-0.056138342981753686,0.0006796317287234751,0.0005140385499906064,0.10467292796912021,0.023692267930337768,0.11043129195499858,0.13573704186854318,0.047984973936439995,-0.11384093420146421,0.13569122937700615,-0.07704060290124201,-0.17573804597349238,0.08681392090779456,0.15659117441194084,-0.008690606352352583,-0.11174378653333641,0.03565814391538131,0.1142985796299691,-0.06617724739891702,-0.06490548737183721,0.08015245562549307,0.06698814860156578,0.05433813721170817
wkATR[0][0],0.0524274486803518,0.03217972290461873,0.11701776924991386,0.021213126038668224,0.05238863584618871,-0.08017077950379711,0.17443319251165193,-0.09354763194257991,-0.0994754384205183,0.0968281715380696,-0.08939990377296857,-0.12296968882173444,0.029503457409230886,0.03968355732982942,0.09574800941931197,-0.13277735849668607,0.036208788942011884,-0.019586711038937363,0.3021013553516082,0.006358507917678508,-0.0985981431256873,-0.00723558143367071,0.05990849858356928,0.03666973706149721,0.11462712336684042,0.04841112319505151,0.056486612975119685,0.11188832370171974,0.0890093125568624,-0.15833349850640305,1.822414209391033e-05,0.049801713590255724,-0.14866605537114622,0.04041977733751467,-0.0424077634141494,0.014520555311725022,-0.11143196830664345,0.18874104758056034,0.042499450409270334,-0.11686686954440549,0.19420075972819414,-0.02856580850353222,-0.05109863750880617,0.11180863789781968
wkSMA[0][1],-0.0017240953091188305,0.0013370979551288597,-0.11546588148068647,-0.006594211434450988,-0.14323866899569027,0.12868309504918435,-0.08974409150796485,0.09528016081872019,-0.03371918627270391,-0.16695998398114095,-0.0030651136664801605,0.016637658018864007,0.04844849333967233,0.04010297759881346,0.053653086837620996,0.05661898552745389,-0.019031759876162842,-0.030798266463560625,0.04847555663780769,0.03002330348408363,-0.051748227017550975,-0.053416987238473476,-0.001909182011334225,0.0013770382973498916,-0.11285914247325583,-0.022174506080447343,-0.13767892061008508,-0.13745187994160574,-0.02258442434889535,0.10159511479244156,-0.12846633903574714,0.04806891298175155,0.10528604490398132,-0.06634051149706384,-0.09629329748464303,0.01625427270703123,0.020328839935067518,0.0019186949253294533,-0.05090176889467856,-0.03716492523221751,0.02055550658346044,-0.029958148299649726,-0.04935600060375918,0.06910232757040562
wkRSI[0][1],73.1762348597732,6.016258847081443,0.041702388348873805,-0.04484847904207457,0.18800156613933036,-0.1076991650189808,-0.1988149076590866,-0.04509629163120315,0.15061701130324553,-0.1630963224051442,0.13068135252802046,-0.025811345935572334,0.13454603036659435,0.04508762528869115,0.06673294035605677,0.0675923682591583,-0.03518173836281175,-0.03769130952865824,0.13119336895484576,-0.08351342654856868,-0.03850965104366302,0.07103052024999859,25.578962240735706,5.990828300654776,-0.029920634557127176,0.04507823319054244,-0.2137479847821529,-0.053600357525720746,0.23187047933564775,-0.09143943742350354,-0.059260227350301155,0.023173567349510427,-0.13582420904012793,0.14388691439611365,0.1409073412781738,-0.02446612267539493,-0.030224249543181512,-0.023997882549454497,0.02626027121157711,0.05483865742799544,-0.1840402353421312,-0.024565744347133746,0.06525926626992347,-0.176387118862137
wkBB[0][1],0.000790326551033682,0.0006038732867891565,0.12415063999686568,0.009885068335637378,0.12257913676106776,-0.1005577902563017,0.10636255219269372,-0.0473344917995329,0.003468776332049589,0.07864903078935785,-0.01711902562381773,0.030092143909900934,-0.009004248230819611,-0.01990723161904418,-0.001356413423754129,0.0636007694529328,-0.14479121150763635,-0.10715473044077063,0.020105825807757473,-0.019185177478427958,0.07936902110569954,0.2670264469744506,0.0009119219182275077,0.0006285985954682066,0.11722317991273588,0.023401025449731522,0.12588748232815353,0.12545616126298387,0.0409621232346597,-0.09770216569812333,0.07820513414886215,0.03749328443735056,-0.03140507911435148,0.04980017774382394,-0.007563208367183377,0.0034555924892105717,0.10956086825554791,0.008323814399509986,-0.039050374888958496,0.1366111321732496,0.14565945204929798,-0.09196912420883468,-0.05410520835395231,-0.20825689868849626
wkATR[0][1],0.08104369501466269,0.045326225890783035,0.13068501402361019,0.02829252584261922,0.019048201101957367,-0.04453083725507905,0.19172580846572945,-0.02442590023937218,-0.11062466967102816,0.02391201097989038,-0.0911916618920493,-0.08638406499306985,0.0704593693381302,0.058176026543443254,0.09499736552983623,0.007733202254364504,-0.02195604761746362,-0.11216211946685929,0.2006660943912614,0.053023030414260805,-0.0778195323829641,-0.010700380610390543,0.0906634560906512,0.05034904002740768,0.1247632710633374,0.058744965437540334,0.03225590730406695,0.08785059989560144,0.13090269849598185,-0.13950231674475358,-0.05428828794837559,0.08658371248730933,-0.07048512430214417,0.02859264959988937,-0.09417444501916246,0.027477351634702194,-0.04879913262122283,0.10269067010251955,-0.03743474673210818,-0.025351228954009514,0.09901223107481744,-0.12740706491535572,-0.058570740711329033,0.09694967788805779
wkSMA[0][2],-0.002294443300706467,0.00167896506172624,-0.13396670435390046,0.001567556225521587,-0.12636399355622324,0.06631846738094264,-0.034413521409296835,-0.03403996530020493,0.015276128427448356,0.06997475808459395,0.02855107393262336,-0.08381722815425775,0.02916125599686924,0.012992765960605359,-0.019509900846609633,-0.052963605521892304,-0.05604441136025521,-0.10712658446873703,0.13595413270672388,0.07506551846195583,-0.051792823799371,0.042769296656762906,-0.002526968876773736,0.0016147790425368215,-0.1296887638619844,-0.011344180740704105,-0.1302983823760499,-0.06663788444401199,-0.02231717623902836,-0.007826092055175671,0.0488916473059378,-0.05689664764646252,-0.08112350214543752,-0.01725807543859989,0.005769636884437568,-0.0072681865280399246,-0.06657385696915662,0.03537109828666238,-0.043546264659332944,0.013198966638713018,0.10159332208673405,-0.13659267914649148,-0.08398984710089519,-0.0004236325807368251
wkRSI[0][2],67.34398899021326,5.123271987290972,0.046205750587018216,-0.10972086237766937,0.14730372779941275,0.09722207513834723,-0.20082508129810753,0.04456391000156233,-0.08723229871211395,-0.07952778945742758,-0.13533242806522125,-0.1665880453038719,0.007252661446157857,0.03280218262698666,0.17920846747928867,-0.11545310869516404,0.11055024488961752,0.017865123126247082,0.0643111755865735,-0.04220694586223184,0.0057965950520086655,-0.05722583717329211,31.313980934419014,5.13458840718834,-0.049823570558944374,0.10678880407628553,-0.15762775678635546,0.13330007339593938,0.10532572638715647,-0.11023361553055525,0.17925455211620855,-0.06873123962692966,0.06812777745023767,-0.05110600797182105,0.10942070677824638,-0.013711796982224071,0.15271809905139425,-0.1982158981343759,-0.1034497960183306,0.07209387290580102,-0.012037688784593149,-0.05342638475254194,0.02652470910925859,-0.022971887381310434
